tipo;categoria;mes;dia_semana;hora;pautado;alcance;impresiones;usuarios;clicks;interacciones
Foto;Producto;12;4;3;No;2752;5091;109;159;100
Estado;Producto;12;3;10;No;10460;19057;1361;1674;164
Foto;Inspiracion;12;3;3;No;2413;4373;113;154;80
Foto;Producto;12;2;10;Si;50128;87991;790;1119;1777
Foto;Producto;12;2;3;No;7244;13594;410;580;393
Estado;Producto;12;1;9;No;10472;20849;1073;1389;186
Foto;Inspiracion;12;1;3;Si;11692;19479;265;364;279
Foto;Inspiracion;12;7;9;Si;13720;24137;232;305;339
Estado;Producto;12;7;3;No;11844;22538;1407;1692;192
Foto;Inspiracion;12;6;10;No;4694;8668;183;250;142
Estado;Producto;12;5;10;No;21744;42334;4100;4540;252
Foto;Producto;12;5;10;No;3112;5590;127;145;106
Foto;Producto;12;5;10;No;2847;5133;115;133;104
Foto;Producto;12;5;3;No;2549;4896;134;168;152
Foto;Producto;12;4;5;Si;22784;39941;337;417;599
Estado;Producto;12;3;10;No;10060;19680;1209;1425;108
Foto;Inspiracion;12;3;3;No;1722;2981;123;148;54
Foto;Accion;12;2;12;Si;53264;111785;1103;1655;713
Estado;Inspiracion;12;2;3;No;3930;7509;86;112;75
Foto;Inspiracion;12;1;11;No;1591;2825;88;111;42
Foto;Producto;12;1;3;No;2848;5066;142;184;81
Foto;Accion;12;7;10;No;1384;2467;15;20;0
Link;Accion;12;7;10;No;3454;6853;104;130;18
Foto;Inspiracion;12;7;3;No;2723;4888;118;143;96
Estado;Producto;12;6;10;No;8488;15294;1270;1489;121
Estado;Producto;12;6;3;No;8284;15104;1462;1711;106
Estado;Producto;12;5;11;No;19552;34143;2531;3420;494
Foto;Inspiracion;12;5;3;No;2478;4306;124;149;117
Foto;Producto;12;5;3;No;9560;18264;559;885;622
Video;Accion;12;4;11;Si;36208;61262;1068;1728;174
Foto;Producto;12;4;2;No;4940;9390;306;501;162
Foto;Producto;12;3;10;No;1683;2929;171;221;39
Foto;Inspiracion;12;3;3;No;5280;9578;237;345;204
Foto;Inspiracion;12;2;9;No;3002;5318;185;247;125
Foto;Accion;12;2;3;No;3766;7149;260;431;75
Foto;Producto;12;1;11;No;4512;7808;284;431;199
Foto;Inspiracion;12;1;3;No;2690;4628;168;226;113
Foto;Accion;12;7;10;Si;19800;28663;424;805;100
Estado;Producto;12;7;9;No;17576;33058;5202;6547;269
Foto;Accion;12;7;3;No;3290;6085;284;402;59
Estado;Producto;12;6;11;No;13280;24198;1912;2720;262
Link;Accion;12;6;3;Si;18480;28438;366;460;211
Foto;Accion;12;5;10;No;7268;13989;2079;12074;36
Link;Accion;12;5;3;Si;2645;4270;109;170;46
Foto;Accion;12;4;11;No;4284;8387;316;513;58
Link;Accion;12;4;3;Si;7968;13023;158;223;71
Estado;Accion;12;3;11;No;16576;30612;3464;4802;214
Link;Accion;12;3;2;No;1925;3481;83;126;32
Foto;Accion;12;2;11;No;3786;7329;283;450;92
Link;Accion;12;2;2;No;1536;3094;76;99;14
Foto;Producto;11;1;9;No;1728;3155;65;95;58
Foto;Accion;11;1;3;Si;25248;40125;467;863;337
Foto;Accion;11;7;9;No;4894;8899;181;264;242
Foto;Accion;11;7;3;No;2935;5439;182;401;87
Foto;Accion;11;6;10;No;2425;4462;213;433;83
Video;Accion;11;6;2;Si;16416;31950;411;539;81
Foto;Accion;11;5;11;No;5812;10465;204;301;220
Foto;Accion;11;5;3;No;2545;4846;131;167;53
Foto;Accion;11;4;10;No;2257;4372;173;327;90
Foto;Accion;11;4;3;Si;27072;84885;304;487;160
Foto;Accion;11;3;11;Si;10940;27951;335;591;123
Foto;Accion;11;3;2;Si;50912;164528;513;952;162
Foto;Accion;11;2;10;Si;28752;47358;654;1268;202
Foto;Accion;11;2;3;Si;27216;81908;335;540;245
Foto;Accion;11;1;10;No;2352;5234;182;258;69
Foto;Accion;11;1;3;No;3416;6167;298;641;119
Foto;Accion;11;7;11;No;2149;4120;156;219;55
Foto;Accion;11;7;3;Si;53456;93790;995;1469;787
Foto;Accion;11;6;11;No;2168;3891;168;202;70
Foto;Accion;11;6;3;No;3102;5939;288;512;119
Foto;Accion;11;5;10;Si;39344;103050;460;695;162
Video;Accion;11;5;3;Si;100768;220447;1735;2331;550
Estado;Inspiracion;11;4;11;No;9056;16362;847;1153;273
Foto;Accion;11;4;2;Si;11444;46054;418;717;233
Video;Accion;11;3;11;No;13544;30235;458;667;114
Foto;Accion;11;3;2;Si;37376;68610;808;1341;505
Foto;Accion;11;3;2;No;1228;2392;17;19;0
Foto;Accion;11;1;10;No;22984;59040;374;542;97
Foto;Producto;11;1;3;No;1445;2774;167;211;64
Foto;Accion;11;7;12;No;3754;8533;640;2085;38
Estado;Producto;11;7;3;No;8728;17827;2235;2828;101
Foto;Inspiracion;11;6;10;No;5990;11123;361;512;441
Foto;Accion;11;6;3;No;4582;9193;306;431;252
Foto;Inspiracion;11;5;10;Si;2938;5799;243;379;122
Estado;Inspiracion;11;5;2;No;6692;13092;108;141;117
Foto;Accion;11;4;9;Si;2566;5244;280;469;158
Link;Accion;11;4;3;No;21176;54779;228;329;163
Foto;Inspiracion;11;3;10;No;4012;7955;319;477;311
Foto;Accion;11;3;3;No;1531;2838;189;1359;39
Foto;Accion;11;2;11;Si;2938;6056;283;483;126
Foto;Accion;11;2;3;No;24720;37240;564;850;421
Foto;Producto;11;1;9;No;2219;4545;220;329;91
Foto;Inspiracion;11;1;3;No;4732;9303;352;518;342
Foto;Inspiracion;11;7;9;No;2225;4239;216;289;129
Foto;Producto;11;7;4;No;2626;4943;213;299;148
Foto;Inspiracion;10;6;10;No;3090;5744;257;360;185
Foto;Accion;10;6;3;No;1101;2548;287;2418;65
Foto;Producto;10;5;11;No;2819;5230;218;303;142
Estado;Producto;10;5;3;Si;12468;24917;1966;2576;378
Foto;Accion;10;4;10;No;12776;21893;539;881;430
Foto;Accion;10;4;9;Si;1357;2453;37;55;0
Foto;Producto;10;4;3;No;68896;104952;1326;1952;1626
Foto;Inspiracion;10;3;10;No;1711;3174;245;339;79
Foto;Accion;10;3;4;No;1388;2544;219;931;17
Foto;Accion;10;2;11;Si;2645;5472;315;482;72
Foto;Accion;10;2;4;No;70144;111745;2628;4782;1136
Foto;Inspiracion;10;1;11;No;3674;7221;330;487;222
Estado;Producto;10;1;4;No;9504;19556;1032;1512;238
Foto;Inspiracion;10;7;9;No;2426;4469;237;325;148
Estado;Producto;10;7;3;No;13872;27468;2570;3395;271
Foto;Accion;10;6;10;No;1673;3655;324;1619;34
Foto;Accion;10;6;8;No;1261;2158;37;49;0
Foto;Producto;10;6;4;No;2428;4510;238;323;139
Foto;Producto;10;1;3;Si;2227;4070;314;430;97
Foto;Accion;10;7;13;No;1592;2749;356;414;17
Foto;Accion;10;7;12;Si;813;1568;319;387;6
Foto;Accion;10;7;12;No;32208;57472;1490;2286;458
Foto;Accion;10;7;11;No;729;1374;298;331;7
Foto;Accion;10;7;10;No;834;1570;392;510;9
Foto;Accion;10;7;10;No;786;1573;257;318;8
Foto;Accion;10;7;9;No;584;1029;271;308;2
Estado;Producto;10;7;9;No;15816;30514;2654;3289;232
Foto;Accion;10;7;8;No;619;1096;254;292;4
Foto;Accion;10;7;7;No;617;1071;223;265;6
Foto;Accion;10;7;6;No;677;1285;246;297;7
Foto;Accion;10;7;5;No;677;1240;228;264;9
Foto;Inspiracion;10;7;3;No;3366;6647;345;495;242
Foto;Accion;10;6;13;No;747;1443;220;287;10
Foto;Accion;10;6;13;No;645;1117;192;224;5
Foto;Accion;10;6;12;No;754;1510;205;252;3
Foto;Accion;10;6;11;No;910;1673;201;247;10
Foto;Accion;10;6;9;No;3906;8239;863;2632;10
